time,R,F,T,I
0.0,115.0,42.0,10.0,8.0
0.005,114.26590055311623,42.11509544750847,10.01831159030917,8.011358893770323
0.01,113.54234933396326,42.22855013832374,10.036703037084276,8.022495029113028
0.015,112.82912180596739,42.340376569021224,10.055173641124172,8.033410902497321
0.02,112.12599980745983,42.45058720169728,10.073722704978586,8.044108986510084
0.025,111.43276833855825,42.55919450573808,10.092349525743337,8.054591744125302
0.03,110.74921465617108,42.66621098777307,10.111053390886775,8.064861635678042
0.035,110.07514384048382,42.771648972235724,10.12983361549292,8.074921046568388
0.04,109.41036589921696,42.8755207367248,10.148689517367005,8.084772339027069
0.045,108.7546948522569,42.97783852290329,10.167620415105825,8.094417856012122
0.05,108.10794873165607,43.07861453649839,10.186625628097742,8.103859921208892
0.055,107.46994958163282,43.17786094730153,10.205704476522678,8.113100839030041
0.06,106.84052345857147,43.275589889168316,10.224856281352125,8.122142894615529
0.065,106.21950043102233,43.3718134600186,10.244080364349132,8.130988353832633
0.07,105.60671457970167,43.46654372183643,10.263376048068316,8.139639463275934
0.075,105.00200399749176,43.559792700670066,10.282742655855857,8.148098450267325
0.08,104.40521078944074,43.65157238663198,10.302179511849499,8.156367522856007
0.085,103.81618107276286,43.74189473389888,10.32168594097855,8.16444886981849
0.09,103.23476497683822,43.830771660711655,10.341261268963882,8.172344660658592
0.095,102.66081664321294,43.91821504937542,10.360904822317929,8.180057045607441
0.1,102.09419422559911,44.00423674625951,10.380615928344694,8.187588155623473
0.105,101.53475988987476,44.08884856179745,10.400393915139738,8.194940102392437
0.11,100.98237981408394,44.17206227048701,10.420238111590189,8.202114978327382
0.115,100.43692418843662,44.25388961089015,10.440147847374739,8.209114856568677
0.12,99.89826721530875,44.33434228563304,10.460122452963642,8.21594179098399
0.125,99.36628710924226,44.41343196140608,10.48016125961872,8.222597816168307
0.13,98.8408660309542,44.49117026828074,10.500263599445857,8.229084947510724
0.135,98.32188154163555,44.567568691834566,10.520428815252405,8.235405185824021
0.14,97.80921615626302,44.642638629690616,10.540656259522624,8.241560498815167
0.145,97.30276022275925,44.71639147644092,10.560945283291773,8.247552829466606
0.15,96.80240610889187,44.78883857715675,10.581295238596374,8.25338410474257
0.155,96.30804820227358,44.85999122738864,10.601705478474218,8.259056235589055
0.16,95.81958291036213,44.929860673166345,10.622175356964364,8.264571116933833
0.165,95.3369086604603,44.99845811099888,10.642704229107133,8.269930627686454
0.17,94.85992589971586,45.06579468787452,10.663291450944119,8.275136630738233
0.17500000000000002,94.3885370951217,45.13188150126075,10.683936379518174,8.280190972962268
0.18,93.92264673351572,45.19672959910434,10.704638372873426,8.285095485213427
0.185,93.46216132158082,45.26034997983126,10.725396790055262,8.289851982328349
0.19,93.006989385845,45.322753592346785,10.74621099111034,8.29446226312545
0.195,92.55704147268128,45.38395133603538,10.767080337086583,8.298928110404919
0.2,92.1122301483077,45.443954060760795,10.788004190033181,8.30325129094872
0.20500000000000002,91.67246999878735,45.50277256686601,10.80898191300059,8.30743355552059
0.21,91.23767763002837,45.56041760517323,10.830012870040534,8.311476638866036
0.215,90.80777166778394,45.61689987698395,10.851096426206002,8.315382259712347
0.22,90.38267275765226,45.67223003407888,10.87223194755125,8.319152120768576
0.225,89.9623035650766,45.726418678717984,10.8934188011318,8.322787908725559
0.23,89.54658877534524,45.77947636364047,10.91465635500444,8.326291294255897
0.23500000000000001,89.13545509359152,45.83141359206479,10.93594397822723,8.329663932013972
0.24,88.72883124479381,45.88224081768866,10.957281040859492,8.332907460635935
0.245,88.32664757298716,45.93196844151456,10.978666914095971,8.336023503842242
0.25,87.92883038114041,45.98060674367544,11.000100975710534,8.339013681462916
0.255,87.53531143460374,46.02816592910226,11.021582611282303,8.341879577513309
0.26,87.14602573622618,46.07465615575896,11.043111207858484,8.34462275522315
0.265,86.76090933090529,46.12008752402091,11.064686153651692,8.347244764392093
0.27,86.37989930558723,46.16447007667487,11.086306838039965,8.349747141389733
0.275,86.00293378926668,46.207813798919034,11.107972651566742,8.352131409155591
0.28,85.62995195298687,46.25012861836301,11.129682985940883,8.354399077199123
0.28500000000000003,85.26089400983959,46.2914244050278,11.151437234036662,8.356551641599715
0.29,84.89570121496517,46.331710971345835,11.173234789893758,8.358590585006684
0.295,84.53431586555249,46.37099807216097,11.195075048717275,8.36051737663928
0.3,84.17668130083898,46.40929540472846,11.21695740687772,8.362333472286684
0.305,83.82274190211062,46.44661260871498,11.238881261911018,8.36404031430801
0.31,83.47244309270197,46.48295926619862,11.26084601251851,8.365639331632302
0.315,83.12573133799607,46.518344901668875,11.282851058566942,8.367131939758536
0.32,82.78255414542458,46.552778982026666,11.304895801088481,8.36851954075562
0.325,82.44286006446767,46.58627091658433,11.326979642280703,8.369803523262396
0.33,82.10659868665407,46.618830057065615,11.3491019855066,8.370985262487634
