time,D
0.0,12.49
0.005,12.49022470312541
0.01,12.490449345983096
0.015,12.490673928586912
0.02,12.490898450950707
0.025,12.491122913088331
0.03,12.491347315013629
0.035,12.491571656740444
0.04,12.491795938282623
0.045,12.492020159654004
0.05,12.492244320868426
0.055,12.492468421939728
0.06,12.492692462881745
0.065,12.492916443708308
0.07,12.493140364433254
0.075,12.493364225070406
0.08,12.493588025633603
0.085,12.49381176613668
0.09,12.49403544659347
0.095,12.494259067017792
0.1,12.494482627423467
0.105,12.494706127824314
0.11,12.494929568234149
0.115,12.495152948666783
0.12,12.495376269136035
0.125,12.495599529655712
0.13,12.495822730239622
0.135,12.496045870901575
0.14,12.496268951655374
0.145,12.496491972514821
0.15,12.49671493349372
0.155,12.496937834605868
0.16,12.497160675865066
0.165,12.497383457285105
0.17,12.497606178879783
0.17500000000000002,12.49782884066289
0.18,12.498051442648215
0.185,12.498273984849549
0.19,12.498496467280676
0.195,12.49871888995538
0.2,12.498941252887445
0.20500000000000002,12.49916355609065
0.21,12.499385799578775
0.215,12.499607983365598
0.22,12.499830107464891
0.225,12.500052171890427
0.23,12.500274176655982
0.23500000000000001,12.500496121775319
0.24,12.50071800726221
0.245,12.500939833130417
0.25,12.501161599393706
0.255,12.501383306065838
0.26,12.501604953160575
0.265,12.50182654069167
0.27,12.502048068672885
0.275,12.502269537117968
0.28,12.502490946040677
0.28500000000000003,12.50271229545476
0.29,12.502933585373965
0.295,12.503154815812039
0.3,12.503375986782727
0.305,12.503597098299773
0.31,12.503818150376917
0.315,12.504039143027896
0.32,12.504260076266451
0.325,12.504480950106316
0.33,12.504701764561224
0.335,12.504922519644907
0.34,12.505143215371096
0.34500000000000003,12.505363851753515
0.35000000000000003,12.505584428805893
0.355,12.505804946541954
0.36,12.50602540497542
0.365,12.50624580412001
0.37,12.506466143989442
0.375,12.506686424597437
0.38,12.506906645957704
0.385,12.50712680808396
0.39,12.507346910989913
0.395,12.507566954689274
0.4,12.507786939195748
0.405,12.508006864523043
0.41000000000000003,12.50822673068486
0.41500000000000004,12.508446537694901
0.42,12.508666285566868
0.425,12.508885974314454
0.43,12.509105603951358
0.435,12.509325174491275
0.44,12.509544685947894
0.445,12.509764138334907
0.45,12.509983531666
0.455,12.510202865954863
0.46,12.510422141215178
0.465,12.51064135746063
0.47000000000000003,12.510860514704897
0.47500000000000003,12.511079612961657
0.48,12.51129865224459
0.485,12.51151763256737
0.49,12.511736553943672
0.495,12.511955416387163
0.5,12.512174219911516
0.505,12.512392964530397
0.51,12.512611650257472
0.515,12.512830277106406
0.52,12.513048845090859
0.525,12.513267354224492
0.53,12.513485804520963
0.535,12.51370419599393
0.54,12.513922528657043
0.545,12.514140802523958
0.55,12.514359017608324
0.555,12.51457717392379
0.56,12.514795271484005
0.5650000000000001,12.51501331030261
0.5700000000000001,12.515231290393253
0.5750000000000001,12.51544921176957
0.58,12.515667074445203
0.585,12.51588487843379
0.59,12.516102623748964
0.595,12.516320310404362
0.6,12.516537938413613
0.605,12.516755507790347
0.61,12.516973018548194
0.615,12.517190470700779
0.62,12.517407864261726
0.625,12.517625199244657
0.63,12.517842475663194
0.635,12.518059693530953
0.64,12.518276852861554
0.645,12.518493953668608
0.65,12.518710995965732
0.655,12.518927979766534
0.66,12.519144905084623
0.665,12.519361771933609
0.67,12.519578580327096
0.675,12.519795330278686
0.68,12.520012021801982
0.685,12.520228654910584
0.6900000000000001,12.520445229618089
0.6950000000000001,12.520661745938094
0.7000000000000001,12.520878203884193
0.705,12.521094603469976
0.71,12.521310944709036
0.715,12.52152722761496
0.72,12.521743452201335
0.725,12.521959618481747
0.73,12.522175726469776
0.735,12.522391776179004
0.74,12.522607767623011
0.745,12.522823700815373
0.75,12.523039575769666
0.755,12.523255392499463
0.76,12.523471151018336
0.765,12.523686851339853
0.77,12.523902493477584
0.775,12.524118077445092
0.78,12.524333603255943
0.785,12.5245490709237
0.79,12.52476448046192
0.795,12.524979831884163
0.8,12.525195125203986
0.805,12.525410360434943
0.81,12.525625537590587
0.8150000000000001,12.525840656684467
0.8200000000000001,12.526055717730134
0.8250000000000001,12.526270720741135
0.8300000000000001,12.526485665731013
0.835,12.526700552713313
0.84,12.526915381701576
0.845,12.52713015270934
0.85,12.527344865750145
0.855,12.527559520851527
0.86,12.527774118066848
0.865,12.527988657411887
0.87,12.528203138899967
0.875,12.5284175625444
0.88,12.528631928358502
0.885,12.528846236355585
0.89,12.529060486548962
0.895,12.529274678951941
0.9,12.52948881357783
0.905,12.529702890439932
0.91,12.529916909551554
0.915,12.530130870925996
0.92,12.530344774576559
0.925,12.53055862051654
0.93,12.530772408759239
0.935,12.530986139317948
0.9400000000000001,12.53119981220596
0.9450000000000001,12.531413427436568
0.9500000000000001,12.531626985023061
0.9550000000000001,12.531840484978726
0.96,12.53205392731685
0.965,12.532267312050715
0.97,12.532480639193606
0.975,12.532693908758802
0.98,12.53290712075958
0.985,12.53312027520922
0.99,12.533333372120996
0.995,12.533546411508182
1.0,12.533759393384047
1.0050000000000001,12.533972317761863
1.01,12.534185184654898
1.0150000000000001,12.53439799407642
1.02,12.53461074603969
1.025,12.53482344055797
1.03,12.535036077644525
1.035,12.53524865731261
1.04,12.535461179575485
1.045,12.535673644446405
1.05,12.535886051938622
1.055,12.53609840206539
1.06,12.536310694839958
1.065,12.536522930275574
1.07,12.536735108385486
1.075,12.536947229182935
1.08,12.537159292681169
1.085,12.537371298893426
1.09,12.537583247832945
1.095,12.537795139512966
1.1,12.538006973946723
1.105,12.53821875114745
1.11,12.538430471128379
1.115,12.538642133902743
1.12,12.538853739483766
1.125,12.539065287884679
1.1300000000000001,12.539276779118705
1.135,12.539488213199066
1.1400000000000001,12.539699590138985
1.145,12.539910909951685
1.1500000000000001,12.540122172650378
1.155,12.540333378248283
1.16,12.540544526758612
1.165,12.540755618194583
1.17,12.5409666525694
1.175,12.541177629896277
1.18,12.541388550188417
1.185,12.541599413459029
1.19,12.541810219721313
1.195,12.542020968988474
1.2,12.542231661273712
1.205,12.542442296590222
1.21,12.542652874951202
1.215,12.542863396369848
1.22,12.543073860859351
1.225,12.543284268432902
1.23,12.543494619103692
1.235,12.543704912884905
1.24,12.543915149789731
1.245,12.54412532983135
1.25,12.544335453022947
1.2550000000000001,12.5445455193777
1.26,12.544755528908789
1.2650000000000001,12.54496548162939
1.27,12.545175377552678
1.2750000000000001,12.545385216691825
1.28,12.545594999060004
1.285,12.545804724670385
1.29,12.546014393536133
1.295,12.546224005670418
1.3,12.546433561086399
1.305,12.546643059797242
1.31,12.546852501816108
1.315,12.547061887156152
1.32,12.547271215830536
1.325,12.547480487852411
1.33,12.547689703234932
1.335,12.547898861991252
1.34,12.548107964134518
1.345,12.548317009677879
1.35,12.548525998634483
1.355,12.548734931017473
1.36,12.54894380683999
1.365,12.549152626115179
1.37,12.549361388856175
1.375,12.549570095076119
1.3800000000000001,12.549778744788144
1.385,12.549987338005383
1.3900000000000001,12.55019587474097
1.395,12.550404355008034
1.4000000000000001,12.550612778819705
1.405,12.550821146189106
1.41,12.551029457129365
1.415,12.551237711653604
1.42,12.551445909774944
1.425,12.551654051506505
1.43,12.551862136861404
1.435,12.552070165852758
1.44,12.552278138493678
1.445,12.552486054797278
1.45,12.55269391477667
1.455,12.552901718444959
1.46,12.553109465815256
1.465,12.553317156900663
1.47,12.553524791714286
1.475,12.553732370269223
1.48,12.553939892578576
1.485,12.554147358655444
1.49,12.55435476851292
1.495,12.5545621221641
1.5,12.554769419622078
1.5050000000000001,12.554976660899941
1.51,12.555183846010781
1.5150000000000001,12.555390974967684
1.52,12.555598047783736
1.5250000000000001,12.55580506447202
1.53,12.556012025045618
1.5350000000000001,12.556218929517609
1.54,12.556425777901074
1.545,12.556632570209088
1.55,12.556839306454723
1.555,12.557045986651055
1.56,12.557252610811155
1.565,12.55745917894809
1.57,12.557665691074929
1.575,12.557872147204739
1.58,12.558078547350581
1.585,12.558284891525519
1.59,12.558491179742612
1.595,12.55869741201492
1.6,12.558903588355498
1.605,12.559109708777404
1.61,12.559315773293687
1.615,12.559521781917402
1.62,12.559727734661596
1.625,12.559933631539318
1.6300000000000001,12.560139472563614
1.635,12.560345257747528
1.6400000000000001,12.5605509871041
1.645,12.560756660646376
1.6500000000000001,12.560962278387391
1.655,12.561167840340183
1.6600000000000001,12.561373346517787
1.665,12.561578796933235
1.67,12.56178419159956
1.675,12.561989530529793
1.68,12.562194813736962
1.685,12.562400041234092
1.69,12.562605213034207
1.695,12.56281032915033
1.7,12.563015389595483
1.705,12.563220394382684
1.71,12.563425343524953
1.715,12.563630237035301
1.72,12.563835074926745
1.725,12.564039857212297
1.73,12.564244583904966
1.735,12.56444925501776
1.74,12.564653870563687
1.745,12.56485843055575
1.75,12.565062935006953
1.7550000000000001,12.565267383930298
1.76,12.565471777338784
1.7650000000000001,12.565676115245408
1.77,12.565880397663166
1.7750000000000001,12.566084624605052
1.78,12.56628879608406
1.7850000000000001,12.566492912113178
1.79,12.566696972705396
1.795,12.5669009778737
1.8,12.567104927631076
1.805,12.567308821990506
1.81,12.567512660964974
1.815,12.56771644456746
1.82,12.567920172810936
1.825,12.568123845708385
1.83,12.568327463272778
1.835,12.568531025517087
1.84,12.568734532454286
1.845,12.568937984097342
1.85,12.569141380459222
1.855,12.569344721552891
1.86,12.569548007391314
1.865,12.56975123798745
1.87,12.569954413354264
1.875,12.570157533504709
1.8800000000000001,12.570360598451746
1.885,12.570563608208326
1.8900000000000001,12.570766562787403
1.895,12.57096946220193
1.9000000000000001,12.571172306464854
1.905,12.571375095589124
1.9100000000000001,12.571577829587685
1.915,12.57178050847348
1.92,12.571983132259453
1.925,12.572185700958542
1.93,12.572388214583688
1.935,12.572590673147825
1.94,12.572793076663892
1.945,12.57299542514482
1.95,12.573197718603538
1.955,12.57339995705298
1.96,12.57360214050607
1.965,12.573804268975735
1.97,12.574006342474902
1.975,12.57420836101649
1.98,12.574410324613423
1.985,12.574612233278616
1.99,12.574814087024988
1.995,12.575015885865454
2.0,12.575217629812927
2.005,12.575419318880321
2.0100000000000002,12.575620953080545
2.015,12.575822532426505
2.02,12.576024056931109
2.025,12.57622552660726
2.0300000000000002,12.576426941467863
2.035,12.576628301525819
2.04,12.576829606794025
2.045,12.57703085728538
2.05,12.577232053012779
2.055,12.577433193989116
2.06,12.577634280227281
2.065,12.577835311740168
2.07,12.578036288540662
2.075,12.578237210641653
2.08,12.578438078056024
2.085,12.578638890796656
2.09,12.578839648876434
2.095,12.579040352308235
2.1,12.579241001104938
2.105,12.579441595279418
2.11,12.579642134844548
2.115,12.579842619813203
2.12,12.580043050198253
2.125,12.580243426012565
2.13,12.580443747269006
2.1350000000000002,12.580644013980443
2.14,12.580844226159739
2.145,12.581044383819755
2.15,12.58124448697335
2.1550000000000002,12.581444535633382
2.16,12.58164452981271
2.165,12.581844469524183
2.17,12.58204435478066
2.1750000000000003,12.582244185594988
2.18,12.582443961980017
