time,N,I
0.0,63.8,8.5
0.005,63.803930959780516,8.507755481686202
0.01,63.80784719009152,8.51551534920319
0.015,63.811748706398916,8.523279602760311
0.02,63.815635524158665,8.531048242563523
0.025,63.819507658816754,8.538821268815383
0.03,63.823365125809254,8.54659868171506
0.035,63.827207940562246,8.554380481458324
0.04,63.83103611850625,8.562166668236841
0.045,63.83484967515768,8.569957242234766
0.05,63.83864862593028,8.57775220363851
0.055,63.842432986203065,8.585551552632172
0.06,63.846202771344565,8.593355289396223
0.065,63.84995799671289,8.601163414107512
0.07,63.85369867765567,8.608975926939257
0.075,63.85742482951011,8.616792828061048
0.08,63.86113646760294,8.624614117638849
0.085,63.86483360725044,8.632439795834998
0.09,63.86851626375844,8.640269862808204
0.095,63.8721844524223,8.648104318713552
0.1,63.87583818852697,8.655943163702498
0.105,63.879477487346904,8.663786397922868
0.11,63.88310236414611,8.671634021518864
0.115,63.886712834178155,8.679486034631063
0.12,63.89030891268614,8.687342437396412
0.125,63.89389061490272,8.695203229948229
0.13,63.897457956050104,8.703068412416208
0.135,63.90101095134003,8.710937984926415
0.14,63.90454961597378,8.71881194760129
0.145,63.90807396514221,8.726690300559644
0.15,63.91158401402569,8.734573043916662
0.155,63.91507977779416,8.7424601777839
0.16,63.9185612716071,8.750351702269292
0.165,63.92202851061353,8.758247617477137
0.17,63.92548150995202,8.766147923508113
0.17500000000000002,63.92892028475068,8.774052620459269
0.18,63.93234485012719,8.781961708424028
0.185,63.935755221188735,8.789875187492184
0.19,63.93915141303209,8.797793057749903
0.195,63.94253344074355,8.805715319279729
0.2,63.94590131939897,8.813641972160573
0.20500000000000002,63.94925506406374,8.821573016467722
0.21,63.9525946897928,8.829508452272835
0.215,63.955920211630634,8.837448279643946
0.22,63.959231644611286,8.845392498645458
0.225,63.96252900375833,8.853341109338148
0.23,63.965812304084885,8.86129411177917
0.23500000000000001,63.96908156059364,8.869251506022044
0.24,63.9723367882768,8.87721329211667
0.245,63.975578002116144,8.885179470109314
0.25,63.97880521708297,8.89315004004262
0.255,63.98201844813815,8.901125001955606
0.26,63.98521771023208,8.909104355883654
0.265,63.98840301830471,8.91708810185853
0.27,63.99157438728554,8.925076239908366
0.275,63.99473183209362,8.93306877005767
0.28,63.99787536763753,8.941065692327319
0.28500000000000003,64.00100500881541,8.949067006734566
0.29,64.00412077051496,8.957072713293039
0.295,64.00722266761338,8.965082812012733
0.3,64.01031071497746,8.973097302900022
0.305,64.01338492746352,8.981116185957648
0.31,64.01644531991744,8.989139461184728
0.315,64.01949190717461,8.997167128576754
0.32,64.02252470406002,9.005199188125586
0.325,64.02554372538815,9.01323563981946
0.33,64.02854898596307,9.021276483642986
0.335,64.03154050057839,9.029321719577142
0.34,64.03451828401722,9.037371347599287
0.34500000000000003,64.03748235105229,9.045425367683144
0.35000000000000003,64.04043271644584,9.053483779798814
0.355,64.04336939494962,9.06154658391277
0.36,64.046292401305,9.06961377998786
0.365,64.04920175024283,9.0776853679833
0.37,64.05209745648355,9.085761347854682
0.375,64.05497953473713,9.09384171955397
0.38,64.05784799970307,9.101926483029501
0.385,64.06070286607047,9.110015638225986
0.39,64.0635441485179,9.11810918508451
0.395,64.06637186171355,9.126207123542525
0.4,64.06918602031512,9.134309453533861
0.405,64.07198663896982,9.142416174988721
0.41000000000000003,64.0747737323145,9.150527287833679
0.41500000000000004,64.07754731497545,9.158642791991682
0.42,64.08030740452598,9.16676268746619
0.425,64.08305402150845,9.174886974346853
0.43,64.08578718044035,9.183015652552328
0.435,64.08850689564474,9.19114872199175
0.44,64.09121318143447,9.199286182569914
0.445,64.09390605211215,9.207428034187267
0.45,64.09658552197014,9.215574276739916
0.455,64.0992516052906,9.223724910119627
0.46,64.10190431634547,9.231879934213817
0.465,64.10454366939643,9.240039348905565
0.47000000000000003,64.10716967869496,9.248203154073604
0.47500000000000003,64.1097823584823,9.256371349592325
0.48,64.11238172298947,9.264543935331774
0.485,64.11496778643725,9.27272091115766
0.49,64.1175405630362,9.28090227693134
0.495,64.12010006698665,9.289088032509834
0.5,64.12264631247872,9.297278177745817
0.505,64.12517931369227,9.305472712487619
0.51,64.12769908479694,9.31367163657923
0.515,64.1302056399522,9.321874949860295
0.52,64.13269899330719,9.330082652166118
0.525,64.13517915900091,9.338294743327655
0.53,64.13764615116209,9.346511223171523
0.535,64.14009998390922,9.354732091519997
0.54,64.14254067135063,9.362957348191005
0.545,64.14496822758434,9.371186992998133
0.55,64.14738266669819,9.379421025750624
0.555,64.14978400276979,9.38765944625338
0.56,64.1521722498665,9.395902254306957
0.5650000000000001,64.15454742204547,9.404149449707567
0.5700000000000001,64.15690953335363,9.412401032247084
0.5750000000000001,64.15925859782766,9.420657001713034
0.58,64.16159462949403,9.428917357888599
0.585,64.16391764236897,9.437182100552624
0.59,64.1662276504585,9.445451229479605
0.595,64.16852466775838,9.453724744439697
0.6,64.17080870825417,9.462002645198712
0.605,64.17307978592122,9.470284931518117
0.61,64.17533791472461,9.47857160315504
0.615,64.1775831086192,9.486862659862261
0.62,64.17981538154966,9.495158101388219
0.625,64.18203474745039,9.503457927477012
0.63,64.18424122024557,9.51176213786839
0.635,64.18643481384917,9.520070732297764
0.64,64.18861554216492,9.5283837104962
0.645,64.19078341908634,9.536701072190422
0.65,64.1929384584967,9.545022817102808
0.655,64.19508067426904,9.553348944951397
0.66,64.19721008026619,9.561679455449882
0.665,64.19932669034074,9.570014348307613
0.67,64.20143051833507,9.578353623229598
0.675,64.20352157808131,9.5866972799165
0.68,64.20559988340138,9.59504531806464
0.685,64.20766544810695,9.603397737365999
0.6900000000000001,64.2097182859995,9.611754537508208
0.6950000000000001,64.21175841087025,9.62011571817456
0.7000000000000001,64.2137858365002,9.628481279044005
0.705,64.21580057666011,9.636851219791145
0.71,64.21780264511057,9.645225540086244
0.715,64.21979205560184,9.65360423959522
0.72,64.22176882187406,9.661987317979651
0.725,64.22373295765709,9.670374774896766
0.73,64.22568447667055,9.678766609999457
0.735,64.22762339262385,9.68716282293627
0.74,64.2295497192162,9.695563413351406
0.745,64.2314634701365,9.703968380884728
0.75,64.23336465906354,9.71237772517175
0.755,64.23525329966577,9.720791445843647
0.76,64.23712940560148,9.729209542527249
0.765,64.23899299051872,9.737632014845042
0.77,64.2408440680553,9.746058862415174
0.775,64.24268265183882,9.754490084851442
0.78,64.24450875548662,9.762925681763305
0.785,64.24632239260585,9.771365652755879
0.79,64.2481235767934,9.779809997429933
0.795,64.24991232163597,9.788258715381895
0.8,64.25168864071,9.796711806203852
0.805,64.25345254758172,9.805169269483548
0.81,64.25520405580713,9.813631104804376
0.8150000000000001,64.25694317893198,9.822097311745397
0.8200000000000001,64.25866993049182,9.83056788988132
0.8250000000000001,64.26038432401197,9.839042838782516
0.8300000000000001,64.26208637300749,9.84752215801501
0.835,64.26377609098328,9.856005847140485
0.84,64.26545349143395,9.864493905716282
0.845,64.2671185878439,9.872986333295398
0.85,64.2687713936873,9.881483129426485
0.855,64.27041192242812,9.889984293653852
0.86,64.27204018752006,9.89848982551747
0.865,64.27365620240663,9.906999724552959
0.87,64.27525998052107,9.915513990291602
0.875,64.27685153528644,9.924032622260336
0.88,64.27843088011555,9.932555619981756
0.885,64.27999802841097,9.941082982974114
0.89,64.28155299356507,9.949614710751316
0.895,64.28309578895997,9.958150802822928
0.9,64.28462642796755,9.966691258694173
0.905,64.28614492394952,9.975236077865926
0.91,64.2876512902573,9.983785259834727
0.915,64.28914554023213,9.992338804092766
0.92,64.29062768720497,10.000896710127893
0.925,64.2920977444966,10.009458977423613
0.93,64.29355572541755,10.01802560545909
0.935,64.29500164326814,10.026596593709142
0.9400000000000001,64.29643551133842,10.035171941644247
0.9450000000000001,64.29785734290827,10.043751648730538
0.9500000000000001,64.2992671512473,10.052335714429805
0.9550000000000001,64.30066494961491,10.060924138199496
0.96,64.30205075126028,10.069516919492713
0.965,64.30342456942235,10.078114057758217
0.97,64.30478641732981,10.086715552440426
0.975,64.30613630820118,10.095321402979415
0.98,64.30747425524468,10.103931608810914
0.985,64.30880027165838,10.112546169366313
0.99,64.31011437063007,10.121165084072654
0.995,64.31141656533732,10.129788352352643
1.0,64.3127068689475,10.138415973624634
1.0050000000000001,64.3139852946177,10.147047947302642
1.01,64.31525185549484,10.155684272796345
1.0150000000000001,64.31650656471557,10.164324949511066
1.02,64.31774943540633,10.172969976847794
1.025,64.31898048068334,10.181619354203171
1.03,64.32019971365257,10.190273080969495
1.035,64.3214071474098,10.198931156534726
1.04,64.32260279504054,10.207593580282474
1.045,64.32378666962008,10.21626035159201
1.05,64.32495878421352,10.224931469838262
1.055,64.3261191518757,10.233606934391814
1.06,64.32726778565122,10.242286744618903
1.065,64.32840469857449,10.25097089988143
