time,P,Z,L,B
0.0,82.0,30.0,19.3,15.2
0.005,81.78611856415718,30.107621281023317,19.33419519550614,15.215428951684427
0.01,81.57239056251598,30.215260815657107,19.368364218722586,15.230894928039385
0.015,81.35881724398645,30.322916050481165,19.402506780789956,15.246397995210343
0.02,81.14539987388048,30.430584426996013,19.436622593617304,15.261938218779521
0.025,80.9321397339118,30.538263381622905,19.470711369882146,15.277515663765914
0.03,80.71903811199935,30.645950352916607,19.504772823477776,15.293130394490106
0.035,80.50609601448438,30.753642984932316,19.53880668212993,15.308782470768579
0.04,80.29331469409576,30.86133875341535,19.572812664226138,15.324471954923023
0.045,80.08069558097198,30.969035015066275,19.606790481873126,15.340198910840003
0.05,79.8682401125255,31.07672912798119,19.64073984836606,15.355963401711278
0.055,79.65594973344268,31.184418451651688,19.67466047818855,15.371765490033793
0.06,79.44382589568383,31.292100346964883,19.708552087012663,15.38760523760968
0.065,79.2318700584832,31.399772176203406,19.7424143916989,15.403482705546265
0.07,79.02008368834895,31.507431303045394,19.77624711029622,15.419397954256059
0.075,78.80846825906319,31.6150750925645,19.810049962042026,15.435351043456762
0.08,78.59702525168194,31.72270091122989,19.84382266736216,15.451342032171265
0.085,78.3857561545352,31.83030612690624,19.877564947870923,15.467370978727647
0.09,78.17466246322685,31.937888108853745,19.911276526371054,15.483437940759178
0.095,77.96374568063474,32.045444227728105,19.944957126853748,15.49954297520431
0.1,77.75300731691064,32.152971855580546,19.978606474498633,15.515686138306693
0.105,77.54244888948024,32.26046836585778,20.012224295673796,15.53186748561516
0.11,77.33207192304319,32.36793113340208,20.045810317935764,15.548087071983737
0.115,77.12187794957305,32.47535753445118,20.079364270029515,15.564344951571632
0.12,76.91186850831733,32.58274494663835,20.112885881888477,15.580641177843251
0.125,76.70204514579746,32.690090748992375,20.14637488463451,15.596975803568183
0.13,76.4924094158088,32.79739232193756,20.179831010577942,15.613348880821206
0.135,76.28296287942065,32.9046470472937,20.21325399321753,15.629760460982292
0.14,76.07370710497626,33.011852308276126,20.24664356724049,15.646210594736596
0.145,75.86464366809281,33.11900548949566,20.279999468522472,15.662699332074464
0.15,75.65577415166136,33.22610397695867,20.313321434127587,15.679226722291432
0.155,75.44710014584696,33.333145158067,20.346609202308386,15.695792813988223
0.16,75.23862324808857,33.44012642161802,20.379862512505866,15.712397655070754
0.165,75.03034506309912,33.54704515780462,20.413081105349473,15.729041292750123
0.17,74.8222672028654,33.653898758215206,20.446264722657098,15.745723773542625
0.17500000000000002,74.6143912866482,33.76068461583369,20.47941310743508,15.762445143269737
0.18,74.4067189409822,33.86740012503949,20.512526003878204,15.779205447058127
0.185,74.19925179967606,33.97404268160754,20.545603157369708,15.796004729339657
0.19,73.99199150381232,34.08060968270831,20.578644314481267,15.81284303385137
0.195,73.78493970174748,34.18709852690774,20.611649222973007,15.829720403635504
0.2,73.57809804911196,34.29350661416732,20.6446176317935,15.846636881039483
0.20500000000000002,73.37146820881014,34.39983134584404,20.677549291079774,15.863592507715923
0.21,73.16505185102032,34.5060701246904,20.710443952157288,15.880587324622624
0.215,72.95885065319473,34.61222035485442,20.743301367539964,15.897621372022577
0.22,72.75286630005951,34.71827944187962,20.776121290930153,15.914694689483966
0.225,72.54710048361476,34.82424479270506,20.80890347721867,15.931807315880157
0.23,72.34155490313452,34.930113815665266,20.841647682484766,15.94895928938971
0.23500000000000001,72.13623126516674,35.035883920490335,20.874353663996146,15.966150647496374
0.24,71.93113128353333,35.14155251830582,20.907021180208954,15.983381426989082
0.245,71.7262566793301,35.247117021632846,20.939649990767787,16.00065166396196
