spec_name,module,parameter,kind,value,response_name,response_value,response_aux,response_aux_name,response_aux_2,response_aux_2_name
Q5_gamma_I,Q5,gamma_I,scalar,0.02,EI,0.7314930824574997,29.645088244737657,N_final,47.938101380092455,I_final
Q5_gamma_I,Q5,gamma_I,scalar,0.04,EI,0.7322045137637629,29.956044039578593,N_final,47.300903861102384,I_final
Q5_gamma_I,Q5,gamma_I,scalar,0.05,EI,0.7325520849337712,30.111748140296942,N_final,46.98265393390556,I_final
Q5_gamma_I,Q5,gamma_I,scalar,0.08,EI,0.7335607609399721,30.579664731300653,N_final,46.029470883593895,I_final
Q5_gamma_I,Q5,gamma_I,scalar,0.1,EI,0.7342036219043822,30.892194318886528,N_final,45.39546650328488,I_final
Q5_alpha_NI,Q5,alpha_NI,scalar,0.5,EI,0.7325520849337712,30.111748140296942,N_final,46.98265393390556,I_final
Q5_alpha_NI,Q5,alpha_NI,scalar,0.61,EI,0.7325520849337712,30.111748140296942,N_final,46.98265393390556,I_final
Q5_alpha_NI,Q5,alpha_NI,scalar,0.72,EI,0.7325520849337712,30.111748140296942,N_final,46.98265393390556,I_final
Q5_alpha_NI,Q5,alpha_NI,scalar,0.84,EI,0.7325520849337712,30.111748140296942,N_final,46.98265393390556,I_final
Q5_alpha_NI,Q5,alpha_NI,scalar,0.95,EI,0.7325520849337712,30.111748140296942,N_final,46.98265393390556,I_final
Q5_beta_IN,Q5,beta_IN,scalar,0.4,EI,0.7177099897903167,24.08604638941893,N_final,57.60492742115201,I_final
Q5_beta_IN,Q5,beta_IN,scalar,0.49,EI,0.7253335847776088,26.934135742403456,N_final,52.66937245704562,I_final
Q5_beta_IN,Q5,beta_IN,scalar,0.58,EI,0.7325520849337712,30.111748140296942,N_final,46.98265393390556,I_final
Q5_beta_IN,Q5,beta_IN,scalar,0.69,EI,0.7390104803782314,34.362145507228675,N_final,39.17667601661845,I_final
Q5_beta_IN,Q5,beta_IN,scalar,0.8,EI,0.7398269183178687,38.81774279966872,N_final,30.888100247775526,I_final
