time,X,Y,Z
0.0,0.82,0.36,0.24
0.026671111851975328,0.8190816048746083,0.35876370032134947,0.23886531751738976
0.053342223703950656,0.8182241103403087,0.3575326060578927,0.2377329016270608
0.08001333555592599,0.8174260410474254,0.3563070210965816,0.23660278367352652
0.10668444740790131,0.816685899002168,0.355087230420286,0.23547499669458577
0.13335555925987663,0.8160021730875173,0.35387350656499045,0.2343495738652149
0.16002667111185198,0.815373339921182,0.3526661103581249,0.2332265483272506
0.1866977829638273,0.8147978638555985,0.35146529091856493,0.23210595318938965
0.21336889481580262,0.8142741969779316,0.3502712856566318,0.2309878215271891
0.24004000666777794,0.8138007791100735,0.3490843202740923,0.22987218638306622
0.26671111851975327,0.8133760378086449,0.34790460876415874,0.22875908076629842
0.2933822303717286,0.812998388364994,0.3467323534114891,0.22764853765302334
0.32005334222370396,0.8126662338051974,0.34556774479218705,0.2265405899862388
0.34672445407567926,0.8123779648900592,0.3444109617738017,0.22543527067580288
0.3733955659276546,0.8121319601151118,0.34326217151532773,0.22433261259843376
0.4000666777796299,0.8119265857106152,0.3421215294672056,0.22323264859770994
0.42673778963160525,0.8117602091550041,0.34098918141548773,0.22213541126479808
0.4534089014835806,0.8116312924280151,0.3398652758604212,0.2210409314535267
0.4800800133355559,0.8115381789151009,0.338749929449219,0.21994924179248307
0.5067511251875312,0.8114791964426837,0.3376432447739608,0.21886037499391897
0.5334222370395065,0.811452694406075,0.336545316275398,0.21777436324767932
0.5600933488914819,0.8114570437694759,0.33545623024295396,0.2166912382212022
0.5867644607434572,0.8114906370659771,0.3343760648147237,0.2156110310595188
0.6134355725954326,0.8115518883975588,0.3333048899774742,0.21453377238525334
0.6401066844474079,0.8116392334350905,0.33224276756664417,0.21345949229862327
0.6667777962993832,0.8117511294183314,0.3311897512663443,0.21238822037743918
0.6934489081513585,0.8118860551559303,0.3301458866093569,0.21131998567710467
0.7201200200033339,0.8120425110254251,0.3291112109771363,0.21025481673061655
0.7467911318553092,0.8122190189732437,0.32808575359980846,0.20919274154856476
