time,X,Y,Z
0.0,0.83,0.34,0.25
0.025003125390673835,0.8268767887607874,0.33821488617989237,0.250248545091464
0.05000625078134767,0.8240352380024031,0.33641496033970036,0.2504900591246217
0.0750093761720215,0.8214655106120629,0.334602707391738,0.25072446425351846
0.10001250156269534,0.8191521907204093,0.33278048539656807,0.25095170013039897
0.12501562695336918,0.8170783760464969,0.33095046771920134,0.2511717134803846
0.150018752344043,0.815225826710317,0.32911464161890613,0.2513844577117526
0.17502187773471684,0.8135749652327973,0.3272748082492089,0.25158989291593625
0.20002500312539068,0.8121048765358025,0.325432582657894,0.2517879858675248
0.22502812851606452,0.8107933079421343,0.32358939378700347,0.2519787100242635
0.25003125390673836,0.8096166691755308,0.32174648447283744,0.25216204552705346
0.2750343792974122,0.8085500323606668,0.3199049114459538,0.25233797919995177
0.300037504688086,0.8075671320231542,0.3180655453311684,0.25250650455017165
0.32504063007875983,0.8066422428439634,0.31622907331010747,0.25266761909927443
0.35004375546943367,0.8057543241435395,0.3143959227308813,0.25282131891601
0.3750468808601075,0.8048808596257184,0.31256630161832,0.2529676065174179
0.40005000625078135,0.804001487545131,0.31074031975665733,0.25310648473405734
0.4250531316414552,0.8030982869461544,0.3089179922283987,0.2532379562798106
0.45005625703212904,0.8021557776629118,0.30709923941432127,0.2533620237518832
0.4750593824228029,0.8011609203192729,0.3052838869934741,0.2534786896308038
0.5000625078134767,0.8001031163288533,0.3034716659431778,0.253587956280424
0.5250656332041506,0.7989742078950148,0.30166221253902503,0.2536898259479187
0.5500687585948244,0.7977684805031331,0.29985507404990125,0.2537843007665945
0.5750718839854982,0.796483336603837,0.2980498792796155,0.2538713819479938
0.600075009376172,0.7951201720112353,0.29624622251352484,0.25395106824020025
0.6250781347668458,0.793683031459557,0.29444371091863175,0.25402335784841995
0.6500812601575197,0.7921783919121531,0.29264203075349704,0.2540882488207635
0.6750843855481935,0.7906151625614971,0.2908409473682398,0.25414573904824606
0.7000875109388673,0.789004684829185,0.2890403052045372,0.2541958262647875
0.7250906363295412,0.7873607323659344,0.287240027795625,0.2542385080472121
0.750093761720215,0.7856995110515862,0.28544011776629685,0.2542737818152488
0.7750968871108889,0.7840396589951026,0.2836406568329048,0.25430164483153106
0.8001000125015627,0.7824000484961321,0.28184182007556224,0.2543220968529779
0.8251031378922365,0.7808006998834254,0.2800440039774193,0.2543351406960941
0.8501062632829104,0.7792652047971247,0.27824776348562935,0.2543407787272723
0.8751093886735842,0.7778157368781604,0.27645374205655504,0.2543390176075807
0.9001125140642581,0.7764729844574348,0.2746626712913881,0.2543298683639834
0.9251156394549319,0.7752561505558215,0.2728753709361495,0.25431334638933983
0.9501187648456058,0.7741829528841658,0.2710927488816895,0.2542894714424052
0.9751218902362796,0.7732696238432845,0.26931580116368753,0.2542582676478305
1.0001250156269534,0.7725309105239657,0.2675456119626522,0.2542197634961621
