eps,tail_X
0.02,0.8148059783478806
0.034,0.8146781657358904
0.049,0.8146989932844013
0.063,0.8144913512161358
0.077,0.8144785811939385
0.091,0.8146715760297261
0.106,0.813772263303538
0.12,0.8140028256719117
0.134,0.8142553039717266
0.149,0.8138252780821006
0.163,0.8143511862521293
0.177,0.8142239308302357
0.191,0.8140686447027181
0.206,0.8139196020964125
0.22,0.813783843813179
0.234,0.813648233101161
0.249,0.8135016915177326
0.263,0.8133630741128981
0.277,0.8132663945719284
0.291,0.8130868785104787
0.306,0.8128673781755821
0.32,0.8126215503045379
